Square_Feet,Bedrooms,Location_Category,House_Price,Affordable,Price_Category
2100,3,Urban,133000,1,Standard
1800,2,Suburban,98000,1,Basic
2500,4,Urban,165000,0,Standard
1500,2,Rural,85000,1,Basic
3000,4,Urban,220000,0,Luxury
2000,3,Suburban,120000,1,Standard
2800,4,Urban,180000,0,Standard
1700,2,Rural,90000,1,Basic
2400,3,Suburban,150000,1,Standard
1900,3,Suburban,110000,1,Basic
3200,5,Urban,250000,0,Luxury
1600,2,Rural,80000,1,Basic
2700,4,Urban,175000,0,Standard
2200,3,Suburban,140000,1,Standard
2900,4,Urban,195000,0,Luxury
1800,2,Rural,95000,1,Basic
2600,4,Suburban,160000,0,Standard
2000,3,Suburban,115000,1,Basic
3100,4,Urban,230000,0,Luxury
1700,2,Rural,85000,1,Basic 
